Level,n_species,Margin_BDT_kg,Margin_pct_consumer
"Aratdar (auction margin, M1/M6)",6,29.94,3.3
Bepari/Faria (wholesale margin),6,104.87,11.5
Retailer (margin to consumer),6,116.54,12.8
Total marketing spread (consumer - producer),6,251.35,27.6
Producer share of consumer price,6,,72.4
