"Series","n","W","p_value","Decision"
"Producer price - landing markets M1/M6 (Form A buy)",50,0.9035,0.0006303,"p<=0.05 - non-normal; nonparametric tests used"
"Aratdar auction sell - M1/M6",49,0.9046,0.0007775,"p<=0.05 - non-normal; nonparametric tests used"
"Bepari/Faria sell - all markets",146,0.8961,1.134e-08,"p<=0.05 - non-normal; nonparametric tests used"
"Khuchra retailer sell quotes - all markets",132,0.8917,2.377e-08,"p<=0.05 - non-normal; nonparametric tests used"
"Consumer-paid prices (Form C slips)",54,0.8104,7.281e-07,"p<=0.05 - non-normal; nonparametric tests used"
